# Mode B discovery set: frozen arXiv sample (UNLABELED).
# regenerate: python src/sample_arxiv.py --from 20260301 --to 20260331 --per-cat 35
# window 20260301..20260331; cats: stat.ME,eess.SY,cs.LG,q-bio.QM,q-fin.ST,physics.soc-ph,cond-mat.stat-mech,astro-ph.IM,q-bio.NC,math.OC
id,url,field,license,note
mb-physics-soc-ph-018,https://arxiv.org/abs/2603.04838,physics.soc-ph,arXiv,
mb-physics-soc-ph-019,https://arxiv.org/abs/2603.04939,physics.soc-ph,arXiv,
mb-physics-soc-ph-020,https://arxiv.org/abs/2603.05001,physics.soc-ph,arXiv,
mb-physics-soc-ph-021,https://arxiv.org/abs/2603.05227,physics.soc-ph,arXiv,
mb-physics-soc-ph-022,https://arxiv.org/abs/2603.05264,physics.soc-ph,arXiv,
mb-physics-soc-ph-023,https://arxiv.org/abs/2603.05277,physics.soc-ph,arXiv,
mb-physics-soc-ph-024,https://arxiv.org/abs/2603.05283,physics.soc-ph,arXiv,
mb-physics-soc-ph-025,https://arxiv.org/abs/2603.05337,physics.soc-ph,arXiv,
mb-physics-soc-ph-026,https://arxiv.org/abs/2603.05668,physics.soc-ph,arXiv,
mb-physics-soc-ph-027,https://arxiv.org/abs/2603.05994,physics.soc-ph,arXiv,
mb-physics-soc-ph-028,https://arxiv.org/abs/2603.06207,physics.soc-ph,arXiv,
mb-physics-soc-ph-029,https://arxiv.org/abs/2603.06235,physics.soc-ph,arXiv,
mb-physics-soc-ph-030,https://arxiv.org/abs/2603.16910,physics.soc-ph,arXiv,
mb-physics-soc-ph-031,https://arxiv.org/abs/2603.07114,physics.soc-ph,arXiv,
mb-physics-soc-ph-032,https://arxiv.org/abs/2603.07331,physics.soc-ph,arXiv,
mb-physics-soc-ph-033,https://arxiv.org/abs/2603.08338,physics.soc-ph,arXiv,
mb-physics-soc-ph-034,https://arxiv.org/abs/2603.08912,physics.soc-ph,arXiv,
mb-physics-soc-ph-035,https://arxiv.org/abs/2603.09006,physics.soc-ph,arXiv,
mb-cond-mat-stat-mech-001,https://arxiv.org/abs/2603.01008,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-002,https://arxiv.org/abs/2603.01149,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-003,https://arxiv.org/abs/2603.01273,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-004,https://arxiv.org/abs/2603.01278,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-005,https://arxiv.org/abs/2603.02278,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-006,https://arxiv.org/abs/2603.01389,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-007,https://arxiv.org/abs/2603.02284,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-008,https://arxiv.org/abs/2603.01519,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-009,https://arxiv.org/abs/2603.01642,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-010,https://arxiv.org/abs/2603.01707,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-011,https://arxiv.org/abs/2603.01753,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-012,https://arxiv.org/abs/2603.01829,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-013,https://arxiv.org/abs/2603.01852,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-014,https://arxiv.org/abs/2603.01962,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-015,https://arxiv.org/abs/2603.02000,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-016,https://arxiv.org/abs/2603.02135,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-017,https://arxiv.org/abs/2603.02158,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-018,https://arxiv.org/abs/2603.02168,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-019,https://arxiv.org/abs/2603.02308,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-020,https://arxiv.org/abs/2603.02326,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-021,https://arxiv.org/abs/2603.02328,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-022,https://arxiv.org/abs/2603.02338,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-023,https://arxiv.org/abs/2603.02374,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-024,https://arxiv.org/abs/2603.02385,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-025,https://arxiv.org/abs/2603.02388,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-026,https://arxiv.org/abs/2603.02403,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-027,https://arxiv.org/abs/2603.02521,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-028,https://arxiv.org/abs/2603.02595,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-029,https://arxiv.org/abs/2603.02632,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-030,https://arxiv.org/abs/2603.02739,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-031,https://arxiv.org/abs/2603.02777,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-032,https://arxiv.org/abs/2603.02962,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-033,https://arxiv.org/abs/2603.03103,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-034,https://arxiv.org/abs/2603.03162,cond-mat.stat-mech,arXiv,
mb-cond-mat-stat-mech-035,https://arxiv.org/abs/2603.03248,cond-mat.stat-mech,arXiv,
mb-astro-ph-IM-001,https://arxiv.org/abs/2603.01032,astro-ph.IM,arXiv,
mb-astro-ph-IM-002,https://arxiv.org/abs/2603.01383,astro-ph.IM,arXiv,
mb-astro-ph-IM-003,https://arxiv.org/abs/2603.01428,astro-ph.IM,arXiv,
mb-astro-ph-IM-004,https://arxiv.org/abs/2603.01459,astro-ph.IM,arXiv,
mb-astro-ph-IM-005,https://arxiv.org/abs/2603.01529,astro-ph.IM,arXiv,
